"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"342",2018-02-15,7.8,8.107,7.321,7.79,91900,7.79
"343",2018-02-16,7.66,7.989,7.45,7.67,93800,7.67
"344",2018-02-20,7.5,8.065,7.498,7.73,136900,7.73
"345",2018-02-21,7.72,7.94,7.521,7.61,104200,7.61
"346",2018-02-22,7.63,7.899,7.62,7.64,59800,7.64
"347",2018-02-23,7.71,7.799,7.41,7.6,187900,7.6
"348",2018-02-26,7.68,7.99,7.68,7.82,70100,7.82
"349",2018-02-27,7.85,8.02,7.83,7.88,67000,7.88
"350",2018-02-28,7.92,7.92,7.5,7.69,73000,7.69
"351",2018-03-01,7.74,7.9,7.18,7.32,110100,7.32
"352",2018-03-02,7.25,7.62,7,7.56,83100,7.56
"353",2018-03-05,7.6,7.9,7.58,7.83,92700,7.83
"354",2018-03-06,7.89,8.325,7.89,8.23,146400,8.23
"355",2018-03-07,8.13,9.219,8.1,9.09,253300,9.09
"356",2018-03-08,9.09,9.25,8.471,8.93,92300,8.93
"357",2018-03-09,8.73,9.5,8.508,9.3,128400,9.3
"358",2018-03-12,9.39,9.57,9.21,9.35,117800,9.35
"359",2018-03-13,9.38,9.46,9,9.12,128000,9.12
"360",2018-03-14,9.16,9.32,8.9,9.28,102500,9.28
"361",2018-03-15,9.37,9.37,8.83,9.01,80100,9.01
"362",2018-03-16,8.98,8.98,7.52,7.92,476100,7.92
"363",2018-03-19,8.02,8.52,7.9,8.46,148700,8.46
"364",2018-03-20,8.45,8.474,8.01,8.1,85900,8.1
"365",2018-03-21,8.02,8.279,7.96,8.11,74800,8.11
"366",2018-03-22,7.92,8.067,7.55,7.62,158100,7.62
"367",2018-03-23,7.7,7.75,7.43,7.56,75400,7.56
"368",2018-03-26,7.77,7.895,7.3,7.75,120700,7.75
"369",2018-03-27,7.835,7.93,7.27,7.41,70100,7.41
"370",2018-03-28,7.32,7.59,7.25,7.47,54000,7.47
"371",2018-03-29,7.54,7.72,7.2,7.55,57300,7.55
"372",2018-04-02,7.44,7.47,6.94,7.14,87300,7.14
"373",2018-04-03,7.21,7.44,6.96,7.41,59400,7.41
"374",2018-04-04,7.25,7.71,7.15,7.64,65900,7.64
"375",2018-04-05,7.79,7.97,7.665,7.73,44900,7.73
"376",2018-04-06,7.66,7.705,7.22,7.39,43200,7.39
"377",2018-04-09,7.46,7.83,7.29,7.6,60900,7.6
"378",2018-04-10,7.8,7.8,7.44,7.75,37900,7.75
"379",2018-04-11,7.75,7.92,7.57,7.66,23900,7.66
"380",2018-04-12,7.68,8.07,7.61,8.02,42500,8.02
"381",2018-04-13,8.04,8.349,7.9,8.155,46700,8.155
"382",2018-04-16,8.29,8.3,8.06,8.3,28500,8.3
"383",2018-04-17,8.32,8.5,8.303,8.311,51300,8.311
"384",2018-04-18,8.38,8.5,8.26,8.29,47900,8.29
"385",2018-04-19,8.21,8.228,7.635,7.92,60300,7.92
"386",2018-04-20,7.89,7.89,7.6,7.61,19000,7.61
"387",2018-04-23,7.67,7.92,7.67,7.89,13600,7.89
"388",2018-04-24,7.95,7.97,7.39,7.39,64600,7.39
"389",2018-04-25,7.42,7.49,7.3,7.35,35400,7.35
"390",2018-04-26,7.37,7.89,7.31,7.39,27600,7.39
"391",2018-04-27,7.52,7.556,7.3,7.3,29800,7.3
"392",2018-04-30,7.25,7.49,6.75,6.83,127600,6.83
"393",2018-05-01,6.9,6.98,6.68,6.93,108900,6.93
"394",2018-05-02,7.19,7.41,6.86,6.92,114100,6.92
"395",2018-05-03,7.01,7.3,6.92,7.1,44400,7.1
"396",2018-05-04,6.98,7.6,6.98,7.29,134500,7.29
"397",2018-05-07,7.3,7.43,7.21,7.27,59500,7.27
"398",2018-05-08,7.13,7.4,7.065,7.4,57600,7.4
"399",2018-05-09,7.38,7.6,7.3,7.42,73900,7.42
"400",2018-05-10,8.82,9.73,8.78,8.94,893000,8.94
"401",2018-05-11,8.76,8.965,8.315,8.58,189100,8.58
"402",2018-05-14,8.73,8.93,8.53,8.81,96300,8.81
"403",2018-05-15,8.63,8.83,8.523,8.81,59400,8.81
"404",2018-05-16,8.74,8.79,8.38,8.64,77300,8.64
"405",2018-05-17,8.5,8.75,8.38,8.59,114700,8.59
"406",2018-05-18,8.46,8.77,8.46,8.64,65300,8.64
"407",2018-05-21,8.78,9,8.08,8.16,172500,8.16
"408",2018-05-22,8.27,8.3,7.85,8,96800,8
"409",2018-05-23,7.97,8.079,7.709,7.85,134500,7.85
"410",2018-05-24,7.8,8.11,7.671,7.93,151600,7.93
"411",2018-05-25,7.96,8.06,7.83,8.04,37100,8.04
"412",2018-05-29,8,8.1,7.9,7.99,68300,7.99
"413",2018-05-30,7.99,7.99,7.61,7.67,208100,7.67
"414",2018-05-31,7.71,7.95,7.55,7.67,110700,7.67
"415",2018-06-01,7.75,7.8,7.501,7.75,70200,7.75
"416",2018-06-04,7.8,7.8,7.52,7.6,66200,7.6
"417",2018-06-05,7.64,7.88,7.5,7.84,85100,7.84
"418",2018-06-06,7.91,8.08,7.77,7.99,41300,7.99
"419",2018-06-07,8.04,8.09,7.73,7.87,32600,7.87
"420",2018-06-08,7.9,8.29,7.885,8.24,50700,8.24
